"Exception %s occurred","Exception %s occurred"
"Combination not found.","Combination not found."
"Something went wrong. Please try again.","Something went wrong. Please try again."
"Postcode.nl API not enabled.","Postcode.nl API not enabled."
"Postcode.nl API not configured.","Postcode.nl API not configured."
"Configure your `API key` and `API secret`.","Configure your `API key` and `API secret`."
"Cannot connect to Postcode.nl API: Server is missing support for CURL.","Cannot connect to Postcode.nl API: Server is missing support for CURL."
"Cannot connect to Postcode.nl API: Server is missing SSL (https) support for CURL.","Cannot connect to Postcode.nl API: Server is missing SSL (https) support for CURL."
"Validate & refresh data","Validate & refresh data"
"Key or secret are invalid","Key or secret are invalid"
"Your account is active with name: ","Your account is active with name: "
"Key is valid but has no access","Key is valid but has no access"
"Flekto Postcode.nl update countries start","Flekto Postcode.nl update countries start"
"Flekto Postcode.nl update countries FAILED: ","Flekto Postcode.nl update countries FAILED: "
"Flekto Postcode.nl update countries executed: ","Flekto Postcode.nl update countries executed: "
"Postcode.nl API Autocomplete","Postcode.nl API Autocomplete"
"Configuration","Configuration"
"Enabled","Enabled"
"Dutch address fields behavior","Dutch address fields behavior"
"Address fields behavior in autocomplete","Address fields behavior in autocomplete"
"Api key","Api key"
"Api secret","Api secret"
"Account is valid","Account is valid"
"Supported Countries","Supported Countries"
"Account Name","Account Name"
"Advanced Configuration","Advanced Configuration"
"Debug","Debug"
"Change address fields position","Change address fields position"
"Only zip code and house number (default)","Only zip code and house number (default)"
"Free address input","Free address input"
"Show fields","Show fields"
"Disable fields before autocomplete finished","Disable fields before autocomplete finished"
"Hide fields before autocomplete finished","Hide fields before autocomplete finished"
"Hide fields and show a formatted address instead (default)","Hide fields and show a formatted address instead (default)"
"Your Postcode.nl API licence is invalid.","Your Postcode.nl API licence is invalid."
"Check your API credentials.","Check your API credentials."
"Start typing your address or zip/postal code","Start typing your address or zip/postal code"
"Which house number do you mean?","Which house number do you mean?"
"Zip/Postal Code","Zip/Postal Code"
"House number and addition","House number and addition"
"- Select house number -","- Select house number -"
"Address not found.","Address not found."
"Please enter a valid zip/postal code.","Please enter a valid zip/postal code."
"Please enter a valid house number.","Please enter a valid house number."
